koi_score,koi_fpflag_nt,koi_model_snr,koi_fpflag_co,koi_fpflag_ss,koi_fpflag_ec,koi_duration_err2,koi_prad,koi_depth_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,koi_prad_err2,koi_insol,koi_time0bk_err2,koi_disposition
1.0,0.0,35.8,0.0,0.0,0.0,-0.0819,2.26,-19.5,1.0,81.0,-81.0,-0.15,93.59,-0.00216,CONFIRMED
0.969,0.0,25.8,0.0,0.0,0.0,-0.116,2.83,-35.5,2.0,81.0,-81.0,-0.19,9.11,-0.00352,CONFIRMED
0.0,0.0,76.3,0.0,0.0,0.0,-0.0341,14.6,-171.0,1.0,158.0,-176.0,-1.31,39.3,-0.000581,CANDIDATE
0.0,0.0,505.6,0.0,1.0,0.0,-0.00537,33.46,-12.8,1.0,157.0,-174.0,-2.83,891.96,-0.000115,FALSE POSITIVE
1.0,0.0,40.9,0.0,0.0,0.0,-0.042,2.75,-16.9,1.0,169.0,-211.0,-0.35,926.16,-0.00113,CONFIRMED
1.0,0.0,66.5,0.0,0.0,0.0,-0.061,3.9,-24.2,1.0,189.0,-232.0,-0.42,114.81,-0.00141,CONFIRMED
1.0,0.0,40.2,0.0,0.0,0.0,-0.0673,2.77,-18.7,2.0,189.0,-232.0,-0.3,427.65,-0.0019,CONFIRMED
0.992,0.0,15.0,0.0,0.0,0.0,-0.165,1.59,-16.8,3.0,189.0,-232.0,-0.17,807.74,-0.00461,CONFIRMED
0.0,0.0,47.7,1.0,1.0,0.0,-0.136,39.21,-5.8,1.0,111.0,-124.0,-9.67,767.22,-0.00253,FALSE POSITIVE
1.0,0.0,161.9,0.0,0.0,0.0,-0.0241,5.76,-33.3,1.0,75.0,-83.0,-0.49,30.75,-0.000517,CONFIRMED
0.811,0.0,4304.3,0.0,0.0,0.0,-0.00107,13.04,-4.2,1.0,78.0,-78.0,-0.51,761.46,-8.7e-06,CONFIRMED
1.0,0.0,5945.9,0.0,1.0,0.0,-0.00203,16.1,-1.7,1.0,76.0,-89.0,-0.91,4148.92,-1.6e-05,CONFIRMED
0.998,0.0,1741.5,0.0,0.0,0.0,-0.00653,14.59,-6.6,1.0,112.0,-137.0,-1.11,1264.67,-4.71e-05,CONFIRMED
1.0,0.0,50.6,0.0,0.0,0.0,-0.0427,1.16,-3.0,2.0,105.0,-117.0,-0.12,500.46,-0.00143,CONFIRMED
0.0,0.0,622.1,0.0,1.0,0.0,-0.0114,150.51,-31.9,1.0,155.0,-172.0,-13.3,75.88,-0.000131,FALSE POSITIVE
0.0,0.0,214.7,0.0,1.0,0.0,-0.0598,7.18,-53.3,1.0,151.0,-151.0,-0.68,17.69,-0.000842,FALSE POSITIVE
0.0,0.0,2317.0,0.0,1.0,0.0,-0.00235,49.29,-21.9,1.0,182.0,-200.0,-5.0,55.97,-4.5e-05,FALSE POSITIVE
0.0,0.0,303.4,0.0,1.0,0.0,-0.06,7.94,-39.9,1.0,168.0,-153.0,-0.89,29.61,-0.000623,FALSE POSITIVE
1.0,0.0,87.2,0.0,0.0,0.0,-0.0309,2.47,-16.8,1.0,131.0,-146.0,-0.24,41.85,-0.000877,CONFIRMED
1.0,0.0,65.4,0.0,0.0,0.0,-0.0311,2.85,-34.4,1.0,123.0,-123.0,-0.15,50.04,-0.000713,CONFIRMED
0.0,0.0,48.2,1.0,1.0,1.0,-0.0686,1.58,-9.5,1.0,149.0,-149.0,-0.16,305.34,-0.00234,FALSE POSITIVE
1.0,0.0,60.6,0.0,0.0,0.0,-0.0471,2.55,-14.8,1.0,85.0,-77.0,-0.24,168.99,-0.00127,CONFIRMED
0.98,0.0,28.9,0.0,0.0,0.0,-0.0737,1.7,-13.9,2.0,85.0,-77.0,-0.16,253.15,-0.00233,CONFIRMED
0.971,0.0,14.1,0.0,0.0,0.0,-0.198,1.3,-16.8,3.0,85.0,-77.0,-0.12,97.03,-0.00716,CONFIRMED
0.334,0.0,994.0,0.0,1.0,0.0,-0.0184,41.5,-45.8,1.0,79.0,-79.0,-1.68,1.84,-0.000299,FALSE POSITIVE
1.0,0.0,34.3,0.0,0.0,0.0,-0.0656,2.95,-27.1,1.0,79.0,-79.0,-0.23,18.64,-0.00258,CONFIRMED
1.0,0.0,28.2,0.0,0.0,0.0,-0.0762,2.78,-39.7,1.0,175.0,-159.0,-0.23,166.95,-0.00219,CONFIRMED
1.0,0.0,61.8,0.0,0.0,0.0,-0.042,2.3,-14.1,1.0,152.0,-169.0,-0.19,247.87,-0.00115,CONFIRMED
0.0,0.0,181.1,1.0,0.0,0.0,-0.0483,4.53,-18.3,1.0,155.0,-172.0,-0.44,1054.12,-0.000246,FALSE POSITIVE
0.0,0.0,642.7,1.0,1.0,0.0,-0.131,14.14,-33.5,1.0,100.0,-111.0,-0.71,0.35,-0.00157,FALSE POSITIVE
0.0,0.0,85.3,0.0,1.0,0.0,-0.105,39.87,-70.6,1.0,184.0,-220.0,-5.48,15.43,-0.00209,FALSE POSITIVE
1.0,0.0,34.7,0.0,0.0,0.0,-0.113,2.82,-23.4,1.0,82.0,-74.0,-0.34,18.53,-0.00338,CONFIRMED
0.992,0.0,51.2,0.0,0.0,0.0,-0.0633,3.86,-45.5,2.0,75.0,-83.0,-0.33,8.76,-0.00171,CONFIRMED
1.0,0.0,47.1,0.0,0.0,0.0,-0.0426,2.65,-24.5,3.0,75.0,-83.0,-0.23,108.3,-0.00117,CONFIRMED
1.0,0.0,33.2,0.0,0.0,0.0,-0.0791,3.1,-39.4,1.0,164.0,-149.0,-0.31,29.31,-0.00243,CONFIRMED
1.0,0.0,80.0,0.0,0.0,0.0,-0.058,3.36,-25.4,1.0,152.0,-152.0,-0.33,15.55,-0.00138,CONFIRMED
0.978,0.0,19.1,0.0,0.0,0.0,-0.204,2.12,-36.2,2.0,152.0,-152.0,-0.21,3.92,-0.00643,CONFIRMED
1.0,0.0,696.5,0.0,0.0,0.0,-0.0075,12.21,-20.0,1.0,77.0,-77.0,-1.46,349.4,-8.27e-05,CONFIRMED
0.0,0.0,48.3,1.0,1.0,0.0,-0.0892,6.54,-20.9,1.0,182.0,-182.0,-0.75,527.81,-0.00164,FALSE POSITIVE
1.0,0.0,29.5,0.0,0.0,0.0,-0.0934,2.1,-17.5,1.0,189.0,-210.0,-0.22,389.62,-0.003,CONFIRMED
0.0,0.0,513.4,0.0,1.0,0.0,-0.0179,12.42,-27.7,1.0,168.0,-210.0,-1.69,67.03,-0.000249,FALSE POSITIVE
1.0,0.0,166.7,0.0,0.0,0.0,-0.024,2.94,-4.0,1.0,104.0,-115.0,-0.38,337.68,-0.000468,CONFIRMED
0.998,0.0,141.1,0.0,0.0,0.0,-0.088,5.5,-22.6,1.0,180.0,-164.0,-0.96,16.72,-0.00142,CONFIRMED
1.0,0.0,43.4,0.0,0.0,0.0,-0.0518,2.52,-28.2,1.0,152.0,-152.0,-0.24,91.9,-0.00133,CONFIRMED
1.0,0.0,128.6,0.0,0.0,0.0,-0.0362,4.43,-13.3,1.0,173.0,-239.0,-0.51,565.35,-0.000613,CONFIRMED
1.0,0.0,1406.8,0.0,0.0,0.0,-0.00666,12.21,-11.0,1.0,74.0,-83.0,-0.87,521.13,-4.66e-05,CONFIRMED
0.0,0.0,236.1,1.0,1.0,0.0,-0.104,7.34,-44.3,1.0,136.0,-151.0,-0.6,8.11,-0.00137,FALSE POSITIVE
