st_mass,st_logg,pl_radjerr2,pl_radjerr1,pl_radeerr1,pl_radeerr2,st_teff,pl_orbpererr1,pl_orbpererr2,pl_radj,pl_rade,st_rad,sy_dist,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_orbper,sy_vmagerr1,sy_vmagerr2,sy_vmag,sy_kmagerr2,sy_kmagerr1,sy_kmag,sy_pnum,sy_snum,pl_controv_flag,default_flag,disposition
0.75,4.50612,,,,,4695.41,,,,,0.800765,188.33,12.6619,0.00047,-0.00047,14.6843,0.114,-0.114,12.892,-0.019,0.019,10.536,1,1,0,0,CONFIRMED
0.87,4.36236,,,,,5137.0,,,,,1.01769,594.128,14.1832,0.00043,-0.00043,3.287912,0.149,-0.149,14.538,-0.021,0.021,12.2,0,1,0,1,FALSE POSITIVE
1.17,4.14,-0.00446071,0.00981356,0.11,-0.05,5741.0,0.00035,-0.00035,0.66553777,7.46,1.279,391.537,12.3604,0.000193,-0.000193,19.895,0.08,-0.08,12.524,-0.019,0.019,10.765,1,1,0,0,CONFIRMED
0.741,4.696,-0.03809445,0.04210909,0.472,-0.427,4241.0,0.006803,-0.00635,0.4593638,5.149,0.64,541.51,16.0496,0.001228,-0.001228,27.837146,0.4,-0.4,16.341,-0.034,0.034,13.383,0,1,0,1,CANDIDATE
0.834847,4.46,-0.00982285,0.01866861,0.20925649,-0.11010438,5185.0,0.000514,-0.000536,0.13864665,1.55409035,0.803827,134.591,11.3272,0.001389,-0.001389,4.382745,0.027,-0.027,11.332,-0.016,0.016,9.536,3,1,0,1,CONFIRMED
,4.838,-0.295,0.295,3.31,-3.31,4071.0,0.00015,-0.00015,0.75,8.41,0.62,163.746,19.4138,0.003515,-0.003515,0.279258,,,,-0.119,0.119,14.987,0,1,0,1,CANDIDATE
,,-0.049,0.03,0.3,-0.55,,0.00099,-0.00099,0.222,2.49,0.927,393.306,13.1124,0.000364,-0.000364,13.52583,0.08,-0.08,13.504,-0.029,0.029,11.538,0,1,0,1,CANDIDATE
0.62,4.66,-0.01605852,0.01605852,0.18,-0.18,3835.0,0.00017,-0.00017,0.15790882,1.77,0.6,44.0727,11.4785,0.000959,-0.000959,24.64638,0.009,-0.009,12.168,-0.023,0.023,8.561,3,1,0,0,CONFIRMED
0.68,4.63,,,,,4726.0,9.13e-05,-9.26e-05,,,0.67,307.603,14.4015,0.000224,-0.000224,36.0861607,0.172,-0.172,14.594,-0.02,0.02,12.202,0,1,0,0,CANDIDATE
1.249,3.279,-0.16825794,0.17949893,2.012,-1.886,4993.0,0.00121,-0.001188,2.19493642,24.603,4.259,1165.32,14.0035,0.000554,-0.000554,20.379434,0.047,-0.047,14.684,-0.019,0.019,10.783,0,1,0,1,CANDIDATE
,,-0.5,0.35,3.9,-5.6,,1.8e-05,-1.8e-05,1.4,15.7,1.157,170.111,,,,2.320937,0.004,-0.004,10.015,-0.023,0.023,8.474,0,1,0,1,CANDIDATE
,3.476,,,,,5126.0,,,,,4.182,2881.5,14.7178,0.000275,-0.000275,3.78795,0.172,-0.172,14.936,-0.023,0.023,12.643,0,1,0,1,CANDIDATE
,4.438,-0.05667085,0.05667085,0.6352225,-0.6352225,5780.0,7.87286e-05,-7.87286e-05,1.04984387,11.76767971,1.0,696.695,13.8364,0.00121,-0.00121,15.78157906,0.195,-0.195,13.945,-0.024,0.024,12.33,0,1,0,0,CANDIDATE
,,-2.5,2.3,26.0,-28.0,,2.1e-05,-2.2e-05,6.8,76.0,1.698,264.567,10.8766,0.002277,-0.002277,3.046136,0.021,-0.021,11.548,-0.017,0.017,9.259,0,1,0,1,CANDIDATE
,,,,,,,0.00067,-0.00067,0.165,1.85,0.725,188.33,12.6619,0.00047,-0.00047,14.675828,0.114,-0.114,12.892,-0.019,0.019,10.536,1,1,0,0,CONFIRMED
0.831,4.461,,,,,5560.0,7e-06,-7e-06,,,0.881,413.591,13.2,0.000252,-0.000252,20.2729861,0.114,-0.114,13.444,-0.018,0.018,11.724,1,1,0,0,CONFIRMED
